,OverallQual,OverallCond,YearBuilt,MoSold,YrSold
0,5,6,1961,6,2010
1,6,6,1958,6,2010
2,5,5,1997,3,2010
3,6,6,1998,6,2010
4,8,5,1992,1,2010
5,6,5,1993,4,2010
6,6,7,1992,3,2010
7,6,5,1998,5,2010
8,7,5,1990,2,2010
9,4,5,1970,4,2010
10,7,5,1999,6,2010
11,6,5,1971,2,2010
12,5,5,1971,3,2010
13,6,6,1975,6,2010
14,7,6,1975,6,2010
15,9,5,2009,1,2010
16,8,5,2009,6,2010
17,9,5,2005,6,2010
18,8,5,2005,2,2010
19,9,5,2003,6,2010
20,8,5,2002,6,2010
21,8,5,2006,4,2010
22,6,5,2005,1,2010
23,7,5,2006,1,2010
24,7,5,2004,6,2010
25,7,5,2004,4,2010
26,8,5,1998,1,2010
27,8,5,2005,5,2010
28,7,5,2009,4,2010
29,6,5,2005,5,2010
30,7,5,2004,4,2010
31,5,5,1920,4,2010
32,6,6,1974,4,2010
33,8,5,1993,6,2010
34,8,5,1992,6,2010
35,7,5,2004,3,2010
36,7,5,2004,1,2010
37,7,5,2004,4,2010
38,7,5,2004,2,2010
39,6,5,2005,5,2010
40,6,5,2000,5,2010
41,7,5,2003,6,2010
42,8,5,2010,4,2010
43,8,5,2000,4,2010
44,7,5,2002,4,2010
45,6,6,1967,5,2010
46,6,5,1993,3,2010
47,6,5,1978,4,2010
48,6,6,1971,6,2010
49,5,5,1966,4,2010
50,5,5,1966,4,2010
51,5,6,1967,4,2010
52,6,5,1964,5,2010
53,5,6,1962,1,2010
54,5,7,1952,3,2010
55,6,6,1949,1,2010
56,6,8,1966,1,2010
57,5,5,1958,3,2010
58,7,5,2003,2,2010
59,5,5,1959,5,2010
60,5,5,1959,5,2010
61,6,5,1959,6,2010
62,4,5,1956,2,2010
63,5,7,1952,5,2010
64,5,6,1955,6,2010
65,5,5,1958,4,2010
66,4,7,1920,4,2010
67,6,8,1948,5,2010
68,5,6,1960,6,2010
69,6,7,1963,5,2010
70,4,5,1900,1,2010
71,5,7,1920,5,2010
72,5,7,1957,6,2010
73,6,7,1938,1,2010
74,5,7,1948,6,2010
75,5,6,1920,3,2010
76,2,2,1923,6,2010
77,8,9,1900,4,2010
78,8,9,1890,4,2010
79,5,3,1910,6,2010
80,6,7,1922,6,2010
81,5,6,1950,3,2010
82,7,7,1922,5,2010
83,4,7,1925,4,2010
84,6,7,1939,4,2010
85,6,6,1940,3,2010
86,5,6,1942,3,2010
87,6,7,1948,3,2010
88,5,7,1936,5,2010
89,5,5,1930,3,2010
90,6,5,1923,3,2010
91,4,5,1915,6,2010
92,6,8,1912,5,2010
93,6,8,1920,2,2010
94,5,5,1959,5,2010
95,5,3,1917,1,2010
96,5,4,1915,2,2010
97,6,5,1940,3,2010
98,4,1,1907,3,2010
99,5,7,1910,6,2010
100,4,3,1967,5,2010
101,5,7,1966,6,2010
102,5,5,1968,5,2010
103,5,5,1978,5,2010
104,5,5,1968,3,2010
105,7,7,1977,4,2010
106,4,4,1927,6,2010
107,6,5,1978,5,2010
108,3,4,1938,6,2010
109,6,7,1950,6,2010
110,4,6,1947,6,2010
111,5,7,1954,6,2010
112,7,5,2009,1,2010
113,5,3,1964,6,2010
114,7,5,1987,6,2010
115,6,7,1993,5,2010
116,7,5,2010,3,2010
117,6,8,1900,3,2010
118,5,5,1996,7,2010
119,7,5,1997,4,2010
120,5,8,1977,6,2010
121,5,6,1972,6,2010
122,8,5,2003,5,2010
123,7,5,1997,4,2010
124,6,5,2003,4,2010
125,3,6,1945,4,2010
126,5,6,1954,1,2010
127,5,6,1968,6,2010
128,4,5,1948,6,2010
129,6,6,1975,6,2010
130,4,5,1958,5,2010
131,5,6,1924,5,2010
132,6,6,1939,3,2010
133,4,6,1967,2,2010
134,5,2,1931,5,2010
135,7,6,1941,7,2010
136,5,6,1950,3,2010
137,7,6,1994,6,2010
138,8,6,1989,4,2010
139,8,5,1989,3,2010
140,2,5,1941,4,2010
141,6,5,1921,4,2010
142,4,7,1896,6,2010
143,8,5,2004,5,2010
144,8,5,1998,5,2010
145,6,7,1977,5,2010
146,6,5,1976,3,2010
147,7,5,2008,5,2010
148,7,5,2009,1,2010
149,5,5,2006,4,2010
150,5,5,1965,6,2010
151,5,5,2004,3,2010
152,5,5,1999,6,2010
153,5,6,1973,5,2010
154,4,7,1970,3,2010
155,4,4,1970,6,2010
156,4,6,1972,6,2010
157,5,7,1971,6,2010
158,5,7,1984,4,2010
159,5,2,1985,2,2010
160,5,5,1991,3,2010
161,5,5,1969,4,2010
162,8,5,1994,2,2010
163,6,5,1993,3,2010
164,6,5,1956,10,2009
165,6,5,1974,6,2009
166,6,5,1997,7,2009
167,8,5,2003,8,2009
168,7,5,1996,6,2009
169,8,5,2004,11,2009
170,8,5,1998,7,2009
171,8,5,1995,9,2009
172,7,5,1998,2,2009
173,6,5,1998,10,2009
174,6,5,1994,7,2009
175,6,5,1993,11,2009
176,5,6,1977,7,2009
177,7,6,1978,5,2009
178,6,6,1978,8,2009
179,7,7,1980,8,2009
180,6,5,1978,5,2009
181,7,5,2003,6,2009
182,8,5,2000,3,2009
183,8,5,2002,10,2009
184,5,7,1975,6,2009
185,6,6,1974,4,2009
186,7,5,1975,8,2009
187,5,5,1970,3,2009
188,5,7,1971,7,2009
189,4,6,1970,9,2009
190,4,7,1971,7,2009
191,6,5,1973,7,2009
192,6,6,1972,7,2009
193,6,5,1976,9,2009
194,7,5,1975,8,2009
195,6,5,1977,5,2009
196,6,5,1978,7,2009
197,6,5,1978,4,2009
198,7,6,1976,10,2009
199,5,7,1966,7,2009
200,9,5,2007,6,2009
201,9,5,2009,7,2009
202,9,5,2008,5,2009
203,10,5,2007,3,2009
204,9,5,2008,7,2009
205,8,5,2004,4,2009
206,8,5,2007,6,2009
207,9,5,2008,6,2009
208,9,5,2006,2,2009
209,9,5,2008,3,2009
210,7,5,2003,6,2009
211,9,5,2003,7,2009
212,8,5,2003,6,2009
213,8,5,2006,7,2009
214,6,5,2005,8,2009
215,6,5,2005,3,2009
216,7,5,2007,5,2009
217,10,5,2004,2,2009
218,8,5,2003,7,2009
219,9,5,2008,5,2009
220,9,5,2008,4,2009
221,8,5,2002,9,2009
222,7,5,2003,11,2009
223,7,5,2005,6,2009
224,6,5,2005,7,2009
225,7,5,2005,8,2009
226,7,5,2004,8,2009
227,7,5,2004,9,2009
228,7,5,2004,7,2009
229,7,5,2003,6,2009
230,7,5,2003,5,2009
231,8,5,2002,7,2009
232,7,5,2004,5,2009
233,6,5,2000,6,2009
234,7,5,1999,3,2009
235,7,5,1999,5,2009
236,7,6,1999,6,2009
237,8,5,2000,9,2009
238,8,5,1994,6,2009
239,7,5,1995,11,2009
240,8,5,1993,10,2009
241,8,5,2008,9,2009
242,8,5,2008,9,2009
243,8,5,2007,3,2009
244,8,5,2006,9,2009
245,9,5,2005,10,2009
246,7,5,2008,10,2009
247,7,5,2008,5,2009
248,9,5,2007,5,2009
249,8,5,2006,6,2009
250,8,5,2006,7,2009
251,8,5,2008,10,2009
252,7,5,2006,3,2009
253,7,5,2003,8,2009
254,7,5,2003,3,2009
255,7,6,2007,4,2009
256,7,5,2006,6,2009
257,6,5,2004,8,2009
258,7,5,2004,1,2009
259,8,5,2004,1,2009
260,7,5,2004,5,2009
261,5,5,2004,8,2009
262,5,5,2003,6,2009
263,7,5,2008,2,2009
264,7,5,1996,4,2009
265,6,6,1992,11,2009
266,6,5,1990,2,2009
267,7,5,1994,10,2009
268,6,7,1986,7,2009
269,6,7,1981,5,2009
270,5,5,1962,11,2009
271,5,6,1961,6,2009
272,5,5,1961,7,2009
273,5,5,1965,5,2009
274,5,8,1963,10,2009
275,5,6,1962,10,2009
276,8,8,1980,4,2009
277,7,8,1991,7,2009
278,7,5,2004,7,2009
279,6,5,2008,1,2009
280,6,5,2008,3,2009
281,6,5,2000,8,2009
282,7,5,1999,9,2009
283,8,9,1977,6,2009
284,7,5,1981,6,2009
285,8,5,1976,1,2009
286,7,6,1974,6,2009
287,6,7,1967,5,2009
288,5,5,1969,8,2009
289,6,5,1969,8,2009
290,7,7,1977,11,2009
291,5,6,1967,6,2009
292,5,5,1967,3,2009
293,7,5,1974,5,2009
294,6,5,1971,5,2009
295,4,7,1960,8,2009
296,5,7,1959,9,2009
297,4,5,1957,5,2009
298,5,6,1956,7,2009
299,5,6,1961,2,2009
300,5,5,1964,7,2009
301,5,6,1965,6,2009
302,6,6,1961,9,2009
303,5,5,1955,2,2009
304,6,5,1967,4,2009
305,6,6,1961,4,2009
306,6,8,1966,7,2009
307,5,7,1956,6,2009
308,7,6,1960,8,2009
309,6,8,1959,6,2009
310,5,5,1956,11,2009
311,5,5,1955,7,2009
312,4,5,1956,11,2009
313,5,4,1958,12,2009
314,6,7,1954,2,2009
315,5,5,1951,10,2009
316,5,6,1945,8,2009
317,5,8,1952,3,2009
318,5,5,1953,8,2009
319,7,7,1948,12,2009
320,5,6,1950,8,2009
321,3,5,1958,8,2009
322,5,7,1939,8,2009
323,4,8,1900,5,2009
324,5,7,1925,12,2009
325,4,5,1915,6,2009
326,7,9,1910,8,2009
327,2,5,1940,6,2009
328,5,7,1920,6,2009
329,3,5,1890,11,2009
330,6,5,1969,8,2009
331,6,7,1963,6,2009
332,6,4,1967,5,2009
333,6,9,1958,9,2009
334,6,6,1957,4,2009
335,6,6,1958,4,2009
336,6,5,1950,12,2009
337,5,6,1958,3,2009
338,5,7,1952,9,2009
339,5,5,1959,7,2009
340,4,7,1949,8,2009
341,6,7,1948,8,2009
342,6,5,1964,3,2009
343,5,7,1978,11,2009
344,6,6,1963,4,2009
345,6,8,1935,6,2009
346,6,5,1910,6,2009
347,5,8,1910,7,2009
348,5,8,1910,3,2009
349,5,6,1939,10,2009
350,4,6,1920,10,2009
351,5,5,1910,7,2009
352,5,7,1950,3,2009
353,4,6,1920,11,2009
354,2,4,1940,10,2009
355,5,8,1923,2,2009
356,4,4,1910,6,2009
357,6,7,1900,6,2009
358,6,7,1917,5,2009
359,4,3,1910,6,2009
360,6,6,1920,9,2009
361,6,7,1910,9,2009
362,3,3,1900,9,2009
363,6,6,1923,9,2009
364,5,7,1930,5,2009
365,5,5,1924,6,2009
366,5,6,1925,3,2009
367,5,6,1938,2,2009
368,5,5,1925,8,2009
369,6,6,1915,6,2009
370,7,8,1915,6,2009
371,5,1,1922,9,2009
372,6,5,1927,8,2009
373,6,7,1915,2,2009
374,7,5,1902,5,2009
375,6,6,1927,8,2009
376,4,6,1923,7,2009
377,6,7,1915,2,2009
378,4,9,1946,9,2009
379,5,5,1987,3,2009
380,5,5,1978,7,2009
381,5,3,1934,3,2009
382,5,6,1967,4,2009
383,6,5,1978,6,2009
384,5,5,1961,7,2009
385,6,5,1960,3,2009
386,5,5,1956,10,2009
387,2,2,1947,6,2009
388,4,5,1954,10,2009
389,5,5,1956,2,2009
390,6,7,1946,7,2009
391,5,6,1954,9,2009
392,5,5,1984,2,2009
393,7,6,1990,7,2009
394,6,5,1983,9,2009
395,7,5,1993,8,2009
396,5,7,1880,6,2009
397,5,5,1979,6,2009
398,5,5,1979,6,2009
399,5,5,1979,6,2009
400,5,5,1979,6,2009
401,7,5,2000,10,2009
402,7,5,2000,10,2009
403,7,5,2000,10,2009
404,9,5,2009,7,2009
405,9,5,2008,11,2009
406,8,5,2008,6,2009
407,8,5,2007,4,2009
408,7,5,2007,5,2009
409,8,5,2008,3,2009
410,8,5,2005,3,2009
411,6,5,2005,7,2009
412,7,5,1992,6,2009
413,5,7,1994,10,2009
414,7,5,1998,12,2009
415,6,5,1998,4,2009
416,7,5,2002,4,2009
417,7,5,2001,7,2009
418,5,5,1978,7,2009
419,5,7,1979,10,2009
420,7,5,2002,9,2009
421,8,5,2003,6,2009
422,7,5,2002,11,2009
423,7,5,2001,5,2009
424,8,5,1999,6,2009
425,8,5,2002,6,2009
426,7,5,1997,8,2009
427,8,5,2007,1,2009
428,6,5,2007,7,2009
429,4,6,1960,7,2009
430,6,5,2005,4,2009
431,4,5,1959,3,2009
432,5,5,1950,6,2009
433,5,5,1959,8,2009
434,5,5,1956,5,2009
435,5,6,1941,9,2009
436,5,4,1938,7,2009
437,6,6,1935,3,2009
438,6,8,1916,10,2009
439,7,8,1918,5,2009
440,5,6,1940,2,2009
441,5,4,1960,6,2009
442,7,6,1940,7,2009
443,5,6,1954,10,2009
444,6,6,1960,5,2009
445,5,7,1949,10,2009
446,6,5,1954,1,2009
447,6,6,1980,5,2009
448,6,6,1980,10,2009
449,6,6,1980,7,2009
450,6,6,1986,4,2009
451,7,9,1971,7,2009
452,5,6,1900,12,2009
453,4,6,1925,5,2009
454,8,5,2007,6,2009
455,2,4,1910,3,2009
456,8,5,2000,5,2009
457,6,6,1977,4,2009
458,6,7,1977,11,2009
459,5,5,1991,4,2009
460,9,5,2008,7,2009
461,9,5,2008,1,2009
462,6,8,1980,2,2009
463,7,5,1987,7,2009
464,7,5,2003,2,2009
465,9,5,2007,5,2009
466,5,7,1968,4,2009
467,5,5,1969,3,2009
468,5,8,1972,7,2009
469,6,5,1993,8,2009
470,5,6,1992,6,2009
471,5,5,1992,7,2009
472,5,7,1969,4,2009
473,6,5,1997,4,2008
474,6,5,1995,10,2008
475,6,5,1998,5,2008
476,6,5,1996,11,2008
477,5,5,1996,11,2008
478,8,5,1997,7,2008
479,8,5,1992,8,2008
480,6,5,1998,4,2008
481,6,5,1991,9,2008
482,8,5,1989,4,2008
483,8,5,2005,7,2008
484,9,5,2004,9,2008
485,6,2,1952,5,2008
486,9,5,2007,7,2008
487,6,5,1950,7,2008
488,7,6,1988,6,2008
489,7,7,1983,7,2008
490,7,5,1978,8,2008
491,7,5,1979,3,2008
492,6,5,1976,11,2008
493,7,6,1980,3,2008
494,5,6,1969,6,2008
495,7,7,1978,12,2008
496,6,5,1976,4,2008
497,8,5,1996,6,2008
498,5,5,1974,6,2008
499,4,6,1969,9,2008
500,5,5,1971,5,2008
501,6,5,1973,2,2008
502,6,6,1972,4,2008
503,5,5,1972,12,2008
504,6,6,1975,5,2008
505,7,6,1977,9,2008
506,8,5,2007,1,2008
507,8,5,2007,8,2008
508,9,5,2007,5,2008
509,9,5,2006,10,2008
510,10,5,2005,6,2008
511,9,5,2005,8,2008
512,8,5,2007,6,2008
513,8,5,2004,7,2008
514,10,5,2003,2,2008
515,8,5,2003,6,2008
516,8,5,2001,1,2008
517,8,5,2003,7,2008
518,9,5,2008,11,2008
519,7,5,2005,6,2008
520,9,5,2007,6,2008
521,8,5,2006,6,2008
522,8,5,2006,2,2008
523,7,5,2003,10,2008
524,7,5,2003,8,2008
525,7,5,2004,5,2008
526,7,5,2007,3,2008
527,6,5,2004,7,2008
528,7,5,2002,7,2008
529,7,5,2003,5,2008
530,7,6,2007,11,2008
531,7,5,2000,7,2008
532,7,5,2002,4,2008
533,7,5,1999,5,2008
534,7,5,1999,5,2008
535,8,5,1997,9,2008
536,9,5,2000,6,2008
537,8,5,1998,7,2008
538,7,5,1996,6,2008
539,8,7,1995,6,2008
540,7,5,1993,7,2008
541,7,5,2006,5,2008
542,8,5,2007,7,2008
543,8,5,2007,2,2008
544,8,5,2006,8,2008
545,8,5,2007,7,2008
546,8,5,2007,6,2008
547,7,5,2007,4,2008
548,6,5,2003,7,2008
549,7,5,2003,7,2008
550,6,5,2005,6,2008
551,7,5,2007,3,2008
552,6,5,1995,4,2008
553,6,5,1993,10,2008
554,7,5,1994,11,2008
555,6,5,2001,9,2008
556,7,5,1992,5,2008
557,5,5,1963,8,2008
558,5,8,1961,7,2008
559,5,5,1968,4,2008
560,5,5,1963,1,2008
561,6,5,1974,7,2008
562,5,4,1972,7,2008
563,6,5,1990,6,2008
564,9,5,1993,6,2008
565,7,5,2004,6,2008
566,6,5,2005,5,2008
567,7,5,2007,3,2008
568,6,5,1999,4,2008
569,9,5,2000,7,2008
570,9,5,2001,7,2008
571,9,5,2001,9,2008
572,9,5,1999,6,2008
573,7,5,1999,6,2008
574,7,5,2001,6,2008
575,8,5,1999,12,2008
576,8,5,1999,12,2008
577,10,5,1998,2,2008
578,8,5,1995,8,2008
579,9,3,1977,6,2008
580,8,9,1976,5,2008
581,7,5,2002,4,2008
582,6,6,1969,5,2008
583,6,5,1968,10,2008
584,7,7,1967,8,2008
585,5,6,1965,8,2008
586,5,6,1968,6,2008
587,5,7,1965,7,2008
588,5,5,1965,11,2008
589,7,6,1971,5,2008
590,5,5,1956,3,2008
591,5,5,1961,5,2008
592,5,7,1960,8,2008
593,4,7,1937,9,2008
594,5,6,1960,2,2008
595,5,8,1950,9,2008
596,5,5,1953,6,2008
597,6,7,1966,8,2008
598,5,4,1957,5,2008
599,5,7,1959,6,2008
600,6,6,1958,5,2008
601,5,5,1956,4,2008
602,5,6,1952,5,2008
603,5,6,1953,5,2008
604,5,5,1953,7,2008
605,6,5,1957,9,2008
606,5,3,1957,10,2008
607,5,5,1957,1,2008
608,4,6,1948,8,2008
609,5,8,1925,5,2008
610,4,7,1940,7,2008
611,5,5,1922,6,2008
612,5,6,1968,6,2008
613,7,7,1958,4,2008
614,6,6,1960,6,2008
615,5,7,1951,2,2008
616,5,6,1959,5,2008
617,5,5,1962,11,2008
618,6,6,1948,9,2008
619,6,7,1954,6,2008
620,6,5,1954,4,2008
621,5,5,1961,11,2008
622,5,6,1955,3,2008
623,5,7,1954,7,2008
624,5,5,1963,5,2008
625,6,5,2008,12,2008
626,5,7,1948,7,2008
627,5,5,1910,1,2008
628,5,4,1940,8,2008
629,6,7,1915,6,2008
630,4,6,1910,6,2008
631,4,6,1940,5,2008
632,5,5,1920,6,2008
633,7,6,1920,2,2008
634,6,6,1940,5,2008
635,5,6,1910,9,2008
636,5,9,1890,9,2008
637,5,6,1946,6,2008
638,2,5,1946,3,2008
639,3,1,1949,12,2008
640,5,5,1900,2,2008
641,7,8,1920,3,2008
642,5,7,1900,5,2008
643,5,5,1920,4,2008
644,5,9,1905,2,2008
645,2,1,1920,11,2008
646,7,7,1890,12,2008
647,5,6,1959,6,2008
648,4,6,1958,5,2008
649,5,7,1928,7,2008
650,7,7,1945,8,2008
651,5,5,1935,7,2008
652,5,7,1941,5,2008
653,6,9,1900,4,2008
654,6,7,1940,7,2008
655,5,7,1924,7,2008
656,6,7,1937,5,2008
657,6,5,1939,4,2008
658,6,7,1926,4,2008
659,5,7,1920,4,2008
660,4,7,1946,4,2008
661,4,7,1929,8,2008
662,5,6,1945,6,2008
663,7,5,1939,1,2008
664,5,5,1923,10,2008
665,6,4,1915,3,2008
666,6,8,1910,9,2008
667,6,8,1910,6,2008
668,6,6,1930,7,2008
669,6,6,1952,5,2008
670,6,6,1938,11,2008
671,5,6,1915,4,2008
672,6,7,1925,7,2008
673,6,6,1925,8,2008
674,5,8,1912,8,2008
675,3,3,1915,5,2008
676,5,6,1947,9,2008
677,5,6,1963,5,2008
678,6,5,1978,12,2008
679,5,7,1967,7,2008
680,6,8,1978,5,2008
681,5,5,1967,3,2008
682,5,5,1984,3,2008
683,5,4,1920,1,2008
684,5,8,1963,5,2008
685,6,8,1956,6,2008
686,5,3,1960,12,2008
687,5,7,1941,6,2008
688,5,8,1970,6,2008
689,7,6,1979,4,2008
690,7,5,1948,1,2008
691,5,7,1940,1,2008
692,5,6,1956,7,2008
693,5,5,1975,4,2008
694,6,8,1962,11,2008
695,6,5,1995,6,2008
696,7,5,1994,4,2008
697,7,5,1993,12,2008
698,7,5,1996,2,2008
699,7,5,2007,3,2008
700,8,5,2007,5,2008
701,9,5,2008,6,2008
702,9,5,2008,12,2008
703,8,5,1995,2,2008
704,6,6,1966,3,2008
705,5,7,1994,8,2008
706,7,5,1997,5,2008
707,6,5,1997,7,2008
708,7,5,2000,6,2008
709,7,5,2000,5,2008
710,5,6,1978,5,2008
711,5,6,1975,9,2008
712,5,6,1975,8,2008
713,7,5,2001,6,2008
714,9,5,2001,1,2008
715,8,5,2002,6,2008
716,7,5,2003,8,2008
717,8,5,1999,6,2008
718,6,5,2004,2,2008
719,6,5,1997,7,2008
720,7,5,2004,6,2008
721,7,6,2007,2,2008
722,7,5,2007,6,2008
723,5,5,1966,4,2008
724,5,5,1976,4,2008
725,6,6,1976,5,2008
726,6,6,1977,11,2008
727,6,7,1976,2,2008
728,5,7,1959,7,2008
729,4,5,1955,6,2008
730,4,5,1955,7,2008
731,4,5,1955,5,2008
732,5,7,1938,1,2008
733,5,8,1947,4,2008
734,4,5,1953,5,2008
735,4,6,1954,11,2008
736,4,7,1923,6,2008
737,7,8,1921,4,2008
738,6,7,1930,7,2008
739,6,6,1926,7,2008
740,6,6,1914,1,2008
741,8,9,1925,6,2008
742,6,3,1923,6,2008
