,OverallQual,OverallCond,YearBuilt,MoSold,YrSold
743,5,6,1937,7,2008
744,5,4,1938,3,2008
745,6,5,1951,5,2008
746,8,6,1935,6,2008
747,7,9,1950,4,2008
748,5,5,1956,4,2008
749,6,6,1980,12,2008
750,6,8,1926,7,2008
751,6,8,1940,7,2008
752,5,7,1930,7,2008
753,5,5,1967,7,2008
754,5,7,1930,5,2008
755,5,5,1958,1,2008
756,1,5,1952,2,2008
757,4,7,1895,7,2008
758,4,7,1910,5,2008
759,4,6,1920,6,2008
760,8,5,2007,8,2008
761,7,5,2004,7,2008
762,7,5,1996,9,2008
763,7,5,1996,9,2008
764,5,4,1976,11,2008
765,4,5,1991,7,2008
766,7,6,1986,7,2008
767,8,5,2006,4,2008
768,8,5,2007,1,2008
769,5,5,2006,4,2008
770,7,5,2008,10,2008
771,6,5,1989,7,2008
772,6,5,1986,3,2008
773,8,5,2003,6,2008
774,6,5,1999,12,2008
775,8,5,2007,1,2008
776,8,5,2005,6,2008
777,7,5,1997,11,2008
778,5,5,2007,2,2008
779,6,5,1997,4,2008
780,4,5,1964,11,2008
781,5,6,1975,6,2008
782,5,7,1976,5,2008
783,4,7,1973,6,2008
784,4,6,1973,7,2008
785,5,6,1968,2,2008
786,6,9,1970,3,2008
787,5,7,1983,4,2008
788,5,6,1982,7,2008
789,5,6,1984,4,2008
790,5,1,1900,1,2008
791,6,6,1971,3,2007
792,6,5,1997,3,2007
793,6,5,1994,3,2007
794,6,5,1999,4,2007
795,7,5,1996,8,2007
796,6,5,1999,8,2007
797,7,5,1992,8,2007
798,6,5,1993,7,2007
799,6,6,1964,3,2007
800,8,5,1988,10,2007
801,8,5,1990,8,2007
802,8,5,2005,7,2007
803,9,5,2006,6,2007
804,5,5,1969,11,2007
805,9,5,2006,3,2007
806,8,5,2006,1,2007
807,10,5,2006,10,2007
808,6,5,1984,4,2007
809,7,7,1981,3,2007
810,7,6,1978,9,2007
811,7,5,1979,3,2007
812,6,6,1984,8,2007
813,6,5,1979,8,2007
814,6,5,1971,9,2007
815,7,6,1976,2,2007
816,6,6,1974,11,2007
817,5,6,1970,9,2007
818,5,5,1970,10,2007
819,4,7,1961,7,2007
820,6,5,2001,7,2007
821,6,5,1997,10,2007
822,6,6,1973,2,2007
823,6,5,1973,12,2007
824,7,7,1978,4,2007
825,5,6,1966,11,2007
826,9,5,2006,8,2007
827,8,5,2006,6,2007
828,8,5,2007,11,2007
829,9,5,2007,12,2007
830,8,5,2006,3,2007
831,10,5,2005,8,2007
832,9,5,2007,10,2007
833,9,5,2005,5,2007
834,10,5,2007,8,2007
835,8,5,2007,6,2007
836,8,5,2007,9,2007
837,9,5,2006,6,2007
838,8,5,2004,8,2007
839,8,5,2003,1,2007
840,8,5,2007,8,2007
841,7,5,2005,5,2007
842,8,5,2005,1,2007
843,8,5,2006,2,2007
844,6,5,2005,8,2007
845,6,5,2005,5,2007
846,6,5,2005,6,2007
847,8,5,2006,5,2007
848,9,5,2005,5,2007
849,8,5,2006,9,2007
850,7,5,2003,3,2007
851,6,5,2007,5,2007
852,6,5,2005,6,2007
853,7,5,2006,5,2007
854,6,5,2006,3,2007
855,6,5,2006,6,2007
856,6,5,2005,6,2007
857,6,5,2007,12,2007
858,7,5,2007,7,2007
859,7,6,2007,8,2007
860,8,5,2003,11,2007
861,7,5,2007,8,2007
862,7,5,2004,4,2007
863,7,5,2004,6,2007
864,7,5,2006,4,2007
865,7,5,2003,10,2007
866,7,5,2003,7,2007
867,7,5,2002,7,2007
868,6,5,2000,6,2007
869,6,5,1999,5,2007
870,8,5,1997,6,2007
871,9,5,1998,7,2007
872,8,5,1998,1,2007
873,7,5,1998,5,2007
874,8,5,1992,9,2007
875,8,5,1996,5,2007
876,7,6,2007,9,2007
877,8,5,2007,7,2007
878,8,5,2006,1,2007
879,10,5,2007,10,2007
880,7,5,2007,9,2007
881,8,5,2005,12,2007
882,7,5,2005,4,2007
883,7,5,2006,7,2007
884,8,5,2006,3,2007
885,8,5,2007,11,2007
886,7,5,2006,6,2007
887,8,5,2007,11,2007
888,5,5,2007,7,2007
889,8,5,2007,12,2007
890,8,5,2007,5,2007
891,8,5,2006,4,2007
892,6,5,2004,6,2007
893,6,5,2006,6,2007
894,7,5,2006,10,2007
895,5,5,2003,5,2007
896,7,5,2006,6,2007
897,6,5,1993,5,2007
898,6,5,1980,7,2007
899,5,5,1977,3,2007
900,5,7,1968,6,2007
901,7,5,1990,2,2007
902,5,5,1974,8,2007
903,6,7,1973,1,2007
904,8,5,2004,7,2007
905,8,5,2006,2,2007
906,8,5,2006,2,2007
907,7,5,2006,8,2007
908,8,5,2006,7,2007
909,6,5,1999,9,2007
910,6,5,2000,9,2007
911,7,5,1999,12,2007
912,8,5,2003,8,2007
913,8,5,1998,6,2007
914,8,5,1994,5,2007
915,7,6,1980,3,2007
916,8,5,1981,3,2007
917,6,6,1968,9,2007
918,6,6,1970,6,2007
919,6,6,1969,1,2007
920,6,5,1968,4,2007
921,7,7,1972,5,2007
922,7,6,1993,7,2007
923,7,6,1993,8,2007
924,6,7,1966,11,2007
925,6,5,1963,2,2007
926,5,6,1967,3,2007
927,4,5,1964,4,2007
928,5,5,1956,1,2007
929,5,5,1961,8,2007
930,5,7,1961,2,2007
931,5,7,1960,1,2007
932,7,6,1966,10,2007
933,6,5,1965,5,2007
934,6,7,1964,7,2007
935,6,5,1964,8,2007
936,6,7,1959,7,2007
937,5,7,1940,10,2007
938,3,3,1946,4,2007
939,3,5,1945,7,2007
940,5,8,1958,7,2007
941,5,6,1955,10,2007
942,5,5,1968,5,2007
943,5,6,1966,6,2007
944,6,5,1961,5,2007
945,6,7,1957,9,2007
946,5,6,1956,12,2007
947,5,7,1963,7,2007
948,5,5,1960,6,2007
949,6,6,1957,4,2007
950,5,5,1957,4,2007
951,5,6,1955,6,2007
952,5,5,1955,8,2007
953,5,9,1953,7,2007
954,5,5,1958,12,2007
955,6,6,1952,4,2007
956,6,7,1953,6,2007
957,5,8,1956,6,2007
958,4,4,1955,8,2007
959,5,5,1955,3,2007
960,4,6,1953,2,2007
961,5,5,1952,6,2007
962,4,7,1890,4,2007
963,5,6,1953,6,2007
964,5,4,1935,11,2007
965,4,7,1925,8,2007
966,5,9,1895,7,2007
967,7,5,1963,10,2007
968,5,7,1961,2,2007
969,6,6,1968,8,2007
970,5,3,1950,11,2007
971,5,7,1959,7,2007
972,5,6,1958,3,2007
973,5,5,1960,5,2007
974,5,5,1960,11,2007
975,5,6,1961,7,2007
976,5,5,1962,12,2007
977,5,5,1962,10,2007
978,5,7,1926,4,2007
979,6,6,1927,7,2007
980,5,5,1922,2,2007
981,5,6,1920,7,2007
982,5,8,1940,5,2007
983,5,8,1900,6,2007
984,4,6,1900,5,2007
985,4,8,1900,5,2007
986,8,9,1910,5,2007
987,6,6,1927,3,2007
988,5,7,1910,6,2007
989,6,8,1910,11,2007
990,5,7,1930,7,2007
991,7,8,1879,2,2007
992,4,6,1956,5,2007
993,4,7,1949,5,2007
994,5,7,1925,8,2007
995,5,6,1950,3,2007
996,5,7,1939,3,2007
997,6,6,1939,2,2007
998,5,7,1939,7,2007
999,6,5,1938,3,2007
1000,5,8,1939,7,2007
1001,5,7,1930,7,2007
1002,5,6,1926,8,2007
1003,6,8,1918,5,2007
1004,6,7,1920,2,2007
1005,5,5,1926,10,2007
1006,7,6,1929,9,2007
1007,5,4,1901,9,2007
1008,5,3,1901,9,2007
1009,6,6,1963,4,2007
1010,7,9,1950,4,2007
1011,6,5,1915,5,2007
1012,4,6,1958,2,2007
1013,4,1,1910,9,2007
1014,7,8,1937,4,2007
1015,5,6,1942,7,2007
1016,5,5,1963,3,2007
1017,5,5,1964,11,2007
1018,4,3,1964,7,2007
1019,5,8,1964,5,2007
1020,5,4,1966,2,2007
1021,5,6,1971,5,2007
1022,5,5,1968,1,2007
1023,5,5,1967,6,2007
1024,5,7,1966,7,2007
1025,5,5,1956,12,2007
1026,5,4,1920,5,2007
1027,7,8,1940,7,2007
1028,6,5,1954,10,2007
1029,5,6,1958,10,2007
1030,4,7,1945,5,2007
1031,6,5,1984,2,2007
1032,5,7,1948,7,2007
1033,5,5,1953,3,2007
1034,4,5,1946,7,2007
1035,6,7,1954,7,2007
1036,6,6,1954,5,2007
1037,5,5,1958,5,2007
1038,4,5,1958,8,2007
1039,5,6,1984,7,2007
1040,5,6,1951,4,2007
1041,5,6,1951,7,2007
1042,4,5,1920,3,2007
1043,6,5,1984,4,2007
1044,7,5,1994,7,2007
1045,8,5,2007,9,2007
1046,8,5,2006,6,2007
1047,8,5,2007,9,2007
1048,7,5,2005,6,2007
1049,8,5,2006,6,2007
1050,7,5,2005,7,2007
1051,7,5,2005,10,2007
1052,7,5,1988,5,2007
1053,8,6,1976,5,2007
1054,5,5,1994,8,2007
1055,6,6,1997,5,2007
1056,5,7,1994,7,2007
1057,5,5,1996,7,2007
1058,7,5,1999,3,2007
1059,7,5,1998,3,2007
1060,7,5,2001,2,2007
1061,7,5,2000,7,2007
1062,5,5,1974,8,2007
1063,5,5,1976,7,2007
1064,5,7,1977,6,2007
1065,5,5,1977,1,2007
1066,5,4,1977,1,2007
1067,5,6,1975,9,2007
1068,5,5,1972,9,2007
1069,4,8,1972,10,2007
1070,7,5,2000,1,2007
1071,7,5,2003,6,2007
1072,7,5,2002,8,2007
1073,8,5,1994,6,2007
1074,8,5,2001,1,2007
1075,7,5,1996,6,2007
1076,8,5,1999,1,2007
1077,7,5,2007,6,2007
1078,7,5,2005,10,2007
1079,6,5,2006,7,2007
1080,7,5,2006,5,2007
1081,5,5,2005,6,2007
1082,5,5,1967,8,2007
1083,4,6,1963,6,2007
1084,5,6,1925,7,2007
1085,6,6,1960,6,2007
1086,6,6,1976,4,2007
1087,5,6,1979,2,2007
1088,5,5,2005,5,2007
1089,10,5,2008,10,2007
1090,6,5,2005,5,2007
1091,5,7,1959,12,2007
1092,4,3,1955,9,2007
1093,5,6,1946,7,2007
1094,6,8,1920,8,2007
1095,4,5,1955,7,2007
1096,4,5,1955,10,2007
1097,5,6,1923,1,2007
1098,5,5,1926,4,2007
1099,6,7,1921,8,2007
1100,7,8,1930,6,2007
1101,6,7,1921,4,2007
1102,6,8,1926,7,2007
1103,7,7,1927,10,2007
1104,5,5,1951,6,2007
1105,4,6,1930,11,2007
1106,5,5,1941,10,2007
1107,6,4,1960,5,2007
1108,6,6,1968,9,2007
1109,6,6,1980,12,2007
1110,4,5,1995,6,2007
1111,8,5,1988,3,2007
1112,7,5,1971,2,2007
1113,8,5,1986,8,2007
1114,6,7,1940,5,2007
1115,5,7,1925,9,2007
1116,5,6,1923,3,2007
1117,5,7,1922,9,2007
1118,2,4,1939,3,2007
1119,5,6,1895,6,2007
1120,4,6,1957,8,2007
1121,5,9,1930,11,2007
1122,8,5,2006,10,2007
1123,6,6,1979,1,2007
1124,5,5,2002,12,2007
1125,7,5,2002,7,2007
1126,7,5,1991,5,2007
1127,7,6,1975,3,2007
1128,6,6,1974,4,2007
1129,7,6,1987,10,2007
1130,6,8,1958,7,2007
1131,7,5,2006,4,2007
1132,8,5,2006,9,2007
1133,7,7,1985,7,2007
1134,8,5,2001,1,2007
1135,8,5,2002,4,2007
1136,6,5,1996,11,2007
1137,7,5,2003,7,2007
1138,10,5,2006,9,2007
1139,3,5,1953,6,2007
1140,6,5,1996,6,2007
1141,4,4,1972,5,2007
1142,4,5,1970,7,2007
1143,4,6,1970,5,2007
1144,4,3,1976,4,2007
1145,5,5,1977,7,2007
1146,6,6,1977,9,2007
1147,5,6,1977,5,2007
1148,5,7,1977,6,2007
1149,5,7,1971,9,2007
1150,4,3,1961,11,2007
1151,5,6,1976,6,2007
1152,5,7,1983,5,2007
1153,5,6,1984,12,2007
1154,6,5,1954,5,2006
1155,6,6,1956,8,2006
1156,5,5,1957,6,2006
1157,6,6,1957,10,2006
1158,7,6,1969,3,2006
1159,6,5,1997,5,2006
1160,6,5,1995,2,2006
1161,6,5,1996,5,2006
1162,8,5,2005,1,2006
1163,7,5,2005,5,2006
1164,8,5,1994,12,2006
1165,6,6,1993,7,2006
1166,8,5,1987,8,2006
1167,9,5,2005,3,2006
1168,10,5,2006,9,2006
1169,9,5,2006,7,2006
1170,10,5,2006,7,2006
1171,9,5,2005,1,2006
1172,9,5,2005,8,2006
1173,9,5,2005,9,2006
1174,6,6,1980,6,2006
1175,7,5,1978,7,2006
1176,7,5,1976,7,2006
1177,7,5,2005,6,2006
1178,6,6,1975,6,2006
1179,6,6,1974,6,2006
1180,4,4,1971,3,2006
1181,6,5,2002,9,2006
1182,6,5,1973,12,2006
1183,5,6,1973,6,2006
1184,6,7,1972,7,2006
1185,6,5,1972,7,2006
1186,6,5,1972,10,2006
1187,6,5,1975,7,2006
1188,5,7,1967,9,2006
1189,7,7,1976,4,2006
1190,6,5,1976,7,2006
1191,9,5,2006,8,2006
1192,8,5,2004,7,2006
1193,7,5,2006,9,2006
1194,9,5,2005,6,2006
1195,9,5,2005,8,2006
1196,9,5,2005,5,2006
1197,8,5,2005,7,2006
1198,8,5,2006,11,2006
1199,8,5,2005,8,2006
1200,9,5,2005,3,2006
1201,9,5,2004,8,2006
1202,8,5,2004,2,2006
1203,9,5,2005,3,2006
1204,9,5,2006,6,2006
1205,9,5,2006,6,2006
1206,6,5,2005,2,2006
1207,7,5,2006,9,2006
1208,6,5,2006,7,2006
1209,8,5,2004,6,2006
1210,7,5,2006,10,2006
1211,7,5,2006,11,2006
1212,7,5,2002,5,2006
1213,7,5,2004,9,2006
1214,7,5,2005,6,2006
1215,7,5,2004,7,2006
1216,6,5,2000,4,2006
1217,7,5,2006,8,2006
1218,8,5,1998,2,2006
1219,8,5,2000,6,2006
1220,9,5,2000,3,2006
1221,8,5,1995,6,2006
1222,9,5,1993,5,2006
1223,8,5,1994,6,2006
1224,8,5,1993,10,2006
1225,8,5,2005,1,2006
1226,8,5,2006,9,2006
1227,8,5,2006,9,2006
1228,8,5,2006,10,2006
1229,9,5,2006,11,2006
1230,6,5,2005,2,2006
1231,6,5,2005,1,2006
1232,7,5,2005,10,2006
1233,6,5,2005,3,2006
1234,7,5,2005,4,2006
1235,7,5,2005,3,2006
1236,6,5,1997,7,2006
1237,6,5,1992,10,2006
1238,6,5,1990,7,2006
1239,6,5,1991,6,2006
1240,6,5,1994,7,2006
1241,5,4,1962,7,2006
1242,6,6,1977,8,2006
1243,5,6,1962,3,2006
1244,5,5,1965,7,2006
1245,5,6,1968,11,2006
1246,5,6,1963,10,2006
1247,5,6,1965,1,2006
1248,5,6,1964,4,2006
1249,5,6,1967,6,2006
1250,7,4,1974,1,2006
1251,8,5,1992,10,2006
1252,7,5,2004,5,2006
1253,7,5,2005,7,2006
1254,6,5,2000,6,2006
1255,7,5,2003,7,2006
1256,7,5,1997,11,2006
1257,8,5,2001,9,2006
1258,5,6,1972,7,2006
1259,7,6,1967,4,2006
1260,5,5,1968,7,2006
1261,5,5,1968,6,2006
1262,6,7,1968,8,2006
1263,5,6,1968,8,2006
1264,5,5,1966,3,2006
1265,5,7,1967,7,2006
1266,6,7,1965,6,2006
1267,6,6,1964,4,2006
1268,5,6,1964,7,2006
1269,5,7,1960,5,2006
1270,6,8,1934,7,2006
1271,5,7,1947,5,2006
1272,5,6,1961,6,2006
1273,5,6,1952,7,2006
1274,5,5,1951,5,2006
1275,5,6,1949,7,2006
1276,5,6,1954,3,2006
1277,5,5,1967,10,2006
1278,6,5,1964,11,2006
1279,6,7,1963,10,2006
1280,5,5,1957,3,2006
1281,6,6,1958,12,2006
1282,5,6,1956,2,2006
1283,6,6,1956,5,2006
1284,6,8,1954,6,2006
1285,5,6,1952,1,2006
1286,6,6,1951,6,2006
1287,5,7,1956,9,2006
1288,5,5,1956,7,2006
1289,5,6,1955,11,2006
1290,5,6,1951,6,2006
1291,7,5,1941,12,2006
1292,5,5,1956,6,2006
1293,5,5,1925,7,2006
1294,6,6,1947,10,2006
1295,3,8,1930,10,2006
1296,3,3,1929,8,2006
1297,4,8,1900,3,2006
1298,6,8,1915,4,2006
1299,4,4,1910,2,2006
1300,6,5,1963,6,2006
1301,6,5,1962,5,2006
1302,6,6,1961,8,2006
1303,7,5,1959,6,2006
1304,7,8,1962,9,2006
1305,4,6,1950,9,2006
1306,3,4,1950,12,2006
1307,5,5,1960,9,2006
1308,5,4,1961,7,2006
1309,7,6,1962,3,2006
1310,5,6,1962,2,2006
1311,5,5,1962,3,2006
1312,5,8,1900,6,2006
1313,5,6,1948,5,2006
1314,4,6,1920,7,2006
1315,6,8,1900,6,2006
1316,7,7,1900,5,2006
1317,7,8,1930,7,2006
1318,4,6,1900,4,2006
1319,6,5,1924,6,2006
1320,5,7,1925,7,2006
1321,4,5,1950,8,2006
1322,3,5,1905,3,2006
1323,5,7,1955,6,2006
1324,5,7,1924,8,2006
1325,3,5,1921,6,2006
1326,6,7,1945,5,2006
1327,3,4,1920,6,2006
1328,7,6,1910,7,2006
1329,5,7,1920,12,2006
1330,5,5,1958,7,2006
1331,3,3,1918,10,2006
1332,6,7,1924,5,2006
1333,3,5,1930,11,2006
1334,5,7,1930,2,2006
1335,5,5,1925,7,2006
1336,6,5,1962,10,2006
1337,4,5,1924,10,2006
1338,5,8,1910,7,2006
1339,5,4,1919,9,2006
1340,6,6,1930,3,2006
1341,5,5,1951,6,2006
1342,6,5,1964,7,2006
1343,5,5,1950,6,2006
1344,5,7,1935,6,2006
1345,5,3,1936,1,2006
1346,7,5,2004,5,2006
1347,5,6,1967,6,2006
1348,6,7,1964,7,2006
1349,5,6,1966,6,2006
1350,5,5,1967,7,2006
1351,6,6,1978,7,2006
1352,5,4,1977,8,2006
1353,5,4,1977,5,2006
1354,5,5,1924,4,2006
1355,7,6,1967,6,2006
1356,5,6,1963,4,2006
1357,5,7,1971,6,2006
1358,7,5,1980,4,2006
1359,4,5,1954,6,2006
1360,5,5,1942,3,2006
1361,6,7,1928,12,2006
1362,6,8,1935,12,2006
1363,5,5,1962,5,2006
1364,5,6,1952,4,2006
1365,5,8,1955,3,2006
1366,6,5,1953,7,2006
1367,6,4,1989,11,2006
1368,6,8,1993,4,2006
1369,7,5,2005,7,2006
1370,7,5,2005,2,2006
1371,6,5,2006,7,2006
1372,8,5,2005,8,2006
1373,7,5,2005,5,2006
1374,7,5,2005,3,2006
1375,7,5,2005,6,2006
1376,6,5,1968,7,2006
1377,5,6,1996,6,2006
1378,6,5,1995,8,2006
1379,7,5,1998,5,2006
1380,7,5,1999,6,2006
1381,7,5,1999,9,2006
1382,6,6,1977,12,2006
1383,6,6,1978,4,2006
1384,5,8,1972,3,2006
1385,7,5,2002,7,2006
1386,6,5,1999,8,2006
1387,8,5,2002,6,2006
1388,7,5,2002,9,2006
1389,8,5,1999,7,2006
1390,7,5,1996,8,2006
1391,7,5,1998,5,2006
1392,7,5,1995,7,2006
1393,6,5,2003,4,2006
1394,7,5,2003,3,2006
1395,7,5,2006,8,2006
1396,7,5,2005,3,2006
1397,7,5,2005,9,2006
1398,4,6,1910,10,2006
1399,6,5,1975,10,2006
1400,5,4,1969,12,2006
1401,7,5,2003,5,2006
1402,6,5,2002,4,2006
1403,7,5,2003,2,2006
1404,6,5,2005,10,2006
1405,7,5,2004,5,2006
1406,4,7,1948,4,2006
1407,6,3,1915,5,2006
1408,4,5,1924,5,2006
1409,4,4,1954,10,2006
1410,4,4,1922,9,2006
1411,2,3,1922,2,2006
1412,4,7,1910,9,2006
1413,5,5,1938,7,2006
1414,6,6,1945,7,2006
1415,7,8,1926,5,2006
1416,6,8,1920,6,2006
1417,7,8,1919,9,2006
1418,5,5,1939,7,2006
1419,5,4,1941,11,2006
1420,6,5,1920,9,2006
1421,5,6,1940,2,2006
1422,7,7,1929,2,2006
1423,7,7,1932,5,2006
1424,6,7,1930,11,2006
1425,5,7,1950,7,2006
1426,5,6,1942,8,2006
1427,6,7,1926,5,2006
1428,4,4,1925,6,2006
1429,4,6,1925,3,2006
1430,6,5,1957,4,2006
1431,3,5,1945,10,2006
1432,5,6,1951,10,2006
1433,3,5,1916,4,2006
1434,8,5,2005,2,2006
1435,8,5,2004,12,2006
1436,6,6,1979,9,2006
1437,6,5,1978,10,2006
1438,8,5,2001,5,2006
1439,6,6,1975,5,2006
1440,6,5,1958,3,2006
1441,6,5,2000,10,2006
1442,8,5,2005,11,2006
1443,9,5,2005,9,2006
1444,1,3,1951,5,2006
1445,7,5,1997,11,2006
1446,5,6,1977,5,2006
1447,5,7,1968,10,2006
1448,5,5,1970,3,2006
1449,4,6,1970,4,2006
1450,4,4,1972,5,2006
1451,5,5,1969,5,2006
1452,4,5,1970,12,2006
1453,4,5,1970,6,2006
1454,4,7,1970,6,2006
1455,4,5,1970,4,2006
1456,5,7,1960,9,2006
1457,5,5,1992,7,2006
1458,7,5,1993,11,2006
